movie_name,score_num,ranking,score
东京物语,45073,193,9.2
牯岭街少年杀人事件,93462,194,8.7
这个男人来自地球,160070,195,8.5
英国病人,163654,196,8.4
变脸,198412,197,8.4
被解救的姜戈,239598,198,8.5
终结者2：审判日,129497,199,8.5
末路狂花,94110,200,8.7
E.T. 外星人,140017,201,8.5
叫我第一名,100318,202,8.6
忠犬八公物语,49431,203,9.0
哪吒闹海,71567,204,8.8
发条橙,171644,205,8.4
青蛇,198108,206,8.4
穆赫兰道,214073,207,8.3
源代码,377327,208,8.3
新龙门客栈,166326,209,8.4
黑客帝国3：矩阵革命,140468,210,8.5
黄金三镖客,45930,211,9.1
非常嫌疑犯,105616,212,8.6
美国丽人,169521,213,8.4
上帝也疯狂,88573,214,8.6
城市之光,38110,215,9.2
无耻混蛋,205174,216,8.4
初恋这件小事,419806,217,8.2
勇士,80261,218,8.9
爱·回家,43460,219,9.0
蓝色大门,255662,220,8.2
曾经,190231,221,8.3
无敌破坏王,170639,222,8.6
麦兜故事,118170,223,8.5
暖暖内含光,133172,224,8.4
蝴蝶,89971,225,8.6
大卫·戈尔的一生,78250,226,8.7
与狼共舞,52487,227,8.9
血钻,116747,228,8.5
模仿游戏,227538,229,8.5
国王的演讲,310820,230,8.3
遗愿清单,113601,231,8.5
巴黎淘气帮,98487,232,8.6
偷拐抢骗,106720,233,8.5
荒岛余生,120154,234,8.4
夜访吸血鬼,183380,235,8.3
疯狂的石头,279854,236,8.2
枪火,88141,237,8.6
千钧一发,74132,238,8.7
中央车站,71453,239,8.7
爱在暹罗,207510,240,8.3
爱在午夜降临前,102094,241,8.7
月球,129855,242,8.5
寿司之神,73654,243,8.8
我爱你,49486,244,9.0
两小无猜,299482,245,8.1
罪恶之城,131195,246,8.4
廊桥遗梦,88944,247,8.5
假如爱有天意,213017,248,8.2
黑鹰坠落,99296,249,8.5
角斗士,119619,250,8.4
